,score,extract,type
475,0.6989247311827957,free,other
476,0.8409090909090909,gamme,same
477,0.7653631284916201,gamme,other
478,0.8475336322869955,Mix,same
479,,Mix,other
480,0.9655172413793104,tchai,same
481,0.7628865979381443,tchai,other
482,0.8214285714285714,sibelius,same
483,0.5230769230769231,sibelius,other
484,0.8214285714285714,bach,same
485,0.6256410256410256,bach,other
486,0.8275862068965517,mozart,same
487,0.7216494845360825,mozart,other
488,0.9310344827586207,glazounov,same
489,0.7422680412371134,glazounov,other
490,0.6216216216216216,free,same
491,0.6612903225806451,free,other
492,0.7441860465116279,gamme,same
493,0.75,gamme,other
494,0.7757847533632287,Mix,same
495,,Mix,other
496,0.896551724137931,tchai,same
497,0.5927835051546392,tchai,other
498,0.8518518518518519,sibelius,same
499,0.6326530612244898,sibelius,other
500,0.9285714285714286,bach,same
501,0.717948717948718,bach,other
502,0.8620689655172413,mozart,same
503,0.6082474226804123,mozart,other
504,0.9310344827586207,glazounov,same
505,0.7216494845360825,glazounov,other
506,0.7027027027027027,free,same
507,0.6451612903225806,free,other
508,0.7272727272727273,gamme,same
509,0.5810055865921788,gamme,other
510,0.8609865470852018,Mix,same
511,,Mix,other
512,0.9655172413793104,tchai,same
513,0.634020618556701,tchai,other
514,0.7857142857142857,sibelius,same
515,0.40512820512820513,sibelius,other
516,0.8928571428571429,bach,same
517,0.6461538461538462,bach,other
518,0.8275862068965517,mozart,same
519,0.634020618556701,mozart,other
520,0.9310344827586207,glazounov,same
521,0.7835051546391752,glazounov,other
522,0.7297297297297297,free,same
523,0.7903225806451613,free,other
524,0.8604651162790697,gamme,same
525,0.7666666666666667,gamme,other
526,0.8161434977578476,Mix,same
527,,Mix,other
528,0.9655172413793104,tchai,same
529,0.6082474226804123,tchai,other
530,0.9259259259259259,sibelius,same
531,0.6224489795918368,sibelius,other
532,0.8571428571428571,bach,same
533,0.7128205128205128,bach,other
534,0.7586206896551724,mozart,same
535,0.4948453608247423,mozart,other
536,0.8620689655172413,glazounov,same
537,0.7628865979381443,glazounov,other
538,0.7027027027027027,free,same
539,0.8225806451612904,free,other
540,0.8181818181818182,gamme,same
541,0.7877094972067039,gamme,other
542,0.8295964125560538,Mix,same
543,,Mix,other
544,0.8620689655172413,tchai,same
545,0.7268041237113402,tchai,other
546,0.7857142857142857,sibelius,same
547,0.49230769230769234,sibelius,other
548,0.9642857142857143,bach,same
549,0.6410256410256411,bach,other
550,0.8275862068965517,mozart,same
551,0.7680412371134021,mozart,other
552,0.9655172413793104,glazounov,same
553,0.711340206185567,glazounov,other
554,0.6486486486486487,free,same
555,0.6666666666666666,free,other
556,0.7674418604651163,gamme,same
557,0.7111111111111111,gamme,other
558,0.8565022421524664,Mix,same
559,,Mix,other
560,0.896551724137931,tchai,same
561,0.7628865979381443,tchai,other
562,0.9642857142857143,sibelius,same
563,0.6358974358974359,sibelius,other
564,0.9285714285714286,bach,same
565,0.6974358974358974,bach,other
566,0.5862068965517241,mozart,same
567,0.6907216494845361,mozart,other
568,0.9310344827586207,glazounov,same
569,0.6701030927835051,glazounov,other
570,0.7837837837837838,free,same
571,0.7634408602150538,free,other
572,0.7906976744186046,gamme,same
573,0.7611111111111111,gamme,other
574,0.8699551569506726,Mix,same
575,,Mix,other
576,0.9310344827586207,tchai,same
577,0.711340206185567,tchai,other
578,1.0,sibelius,same
579,0.49230769230769234,sibelius,other
580,0.9642857142857143,bach,same
581,0.6615384615384615,bach,other
582,0.8620689655172413,mozart,same
583,0.7061855670103093,mozart,other
584,0.9655172413793104,glazounov,same
585,0.7628865979381443,glazounov,other
